,orginal,proposed,old_section,new_sction,start_section,Final_section,Error,number hat
124,14,2,"[[3.6850648], [3.7282592524666667, 3.7714537049333337, 3.9442315148000002, 3.8146481574]]","[[3.7282592524666667], [3.7714537049333337, 3.8146481574, 3.9874259672666668, 3.8578426098666667]]",190.74183952606631,263.55933336492893,"{'regressor_1': 157.4216497363796, 'regressor_2': 4254.383035714285}","[5690, 28]"
125,14,3,"[[3.6850648], [3.7282592524666667, 3.7714537049333337, 4.0738148722, 3.8146481574], [3.8578426098666667, 4.117009324666666, 4.030620419733333, 3.9010370623333332, 3.9442315148000002]]","[[3.7282592524666667], [3.7714537049333337, 3.8146481574, 4.117009324666666, 3.8578426098666667], [3.9010370623333332, 4.160203777133333, 4.0738148722, 3.9442315148000002, 3.9874259672666668]]",186.56311810426544,9164.905632227488,"{'regressor_1': 162.062242498684, 'regressor_2': 20369.6953030303, 'regressor_3': 21199.926570193402}","[5699, 99, 4395]"
126,14,3,"[[3.6850648], [3.7282510190666667, 3.7714372381333336, 4.0737407716, 3.8146234572], [3.8578096762666667, 4.116926990666666, 4.030554552533333, 3.9009958953333332]]","[[3.7282510190666667], [3.7714372381333336, 3.8146234572, 4.116926990666666, 3.8578096762666667], [3.9009958953333332, 4.160113209733333, 4.0737407716, 3.9441821144]]",199.9718254028436,9427.873047867299,"{'regressor_1': 158.82660586891583, 'regressor_2': 20070.778571428575, 'regressor_3': 21853.365870835238}","[5691, 98, 4382]"
127,14,2,"[[3.6850648], [3.7282510190666667, 3.7714372381333336, 4.0737407716, 3.8578096762666667, 3.8146234572]]","[[3.7282510190666667], [3.7714372381333336, 3.8146234572, 4.116926990666666, 3.9009958953333332, 3.8578096762666667]]",183.93930966824644,436.6058608530805,"{'regressor_1': 109.35575576686037, 'regressor_2': 17876.47014184397}","[5679, 141]"
128,14,3,"[[3.6850749], [3.7282686791333335, 3.7714624582666665, 4.0738189122, 3.8146562374], [3.8578500165333334, 4.117012691333334, 4.030625133066667, 3.901043795666667, 3.9442375748]]","[[3.7282686791333335], [3.7714624582666665, 3.8146562374, 4.117012691333334, 3.8578500165333334], [3.901043795666667, 4.160206470466667, 4.0738189122, 3.9442375748, 3.9874313539333333]]",179.18247061611376,9353.820336777251,"{'regressor_1': 153.15937651395473, 'regressor_2': 20560.52143269231, 'regressor_3': 21765.980548076925}","[5697, 104, 4368]"
129,14,3,"[[3.6850648], [3.7282510190666667, 3.7714372381333336, 4.030554552533333, 3.9009958953333332, 3.8578096762666667], [3.8146234572]]","[[3.7282510190666667], [3.7714372381333336, 3.8146234572, 4.0737407716, 3.9441821144, 3.9009958953333332], [3.8578096762666667]]",193.12517033175357,320.64273289099526,"{'regressor_1': 163.4343986605569, 'regressor_2': 9622.370500000003, 'regressor_3': 6539.2584}","[5674, 84, 10]"
130,15,3,"[[3.6850648], [3.7255581388125, 3.766051477625, 4.1304915269375, 3.9280248328750003, 3.8065448164375], [4.0495048493125]]","[[3.7255581388125], [3.766051477625, 3.8065448164375, 4.17098486575, 3.9685181716875, 3.84703815525], [4.0899981881250005]]",192.44192710900475,13203.716355165878,"{'regressor_1': 70.17224683544305, 'regressor_2': 31205.85278463277, 'regressor_3': 7098.5249545454535}","[5688, 4425, 22]"
131,15,3,"[[3.6850648], [3.7255595991875, 3.766054398375, 4.0495179926875, 3.8065491975625], [3.928033595125, 4.0090231935]]","[[3.7255595991875], [3.766054398375, 3.8065491975625, 4.090012791875, 3.84704399675], [3.9685283943125, 4.0495179926875]]",165.08593592417063,284.2060097630332,"{'regressor_1': 151.51482208157526, 'regressor_2': 10921.501844827586, 'regressor_3': 9958.544184210528}","[5688, 58, 38]"
132,15,3,"[[3.6850648], [3.7255595991875, 3.766054398375, 4.0495179926875], [3.8065491975625, 3.9685283943125, 3.928033595125, 3.84704399675, 3.8875387959375]]","[[3.7255595991875], [3.766054398375, 3.8065491975625, 4.090012791875], [3.84704399675, 4.0090231935, 3.9685283943125, 3.8875387959375, 3.928033595125]]",185.54172265402846,290.1612461611374,"{'regressor_1': 123.48219768054823, 'regressor_2': 12366.662588235291, 'regressor_3': 9631.791482142857}","[5691, 51, 56]"
133,15,4,"[[3.6850749], [3.7255690679375, 3.766063235875, 4.0495224114375, 3.84705157175], [3.8065574038125], [3.8875457396875, 4.211499083187499, 4.090016579375, 3.928039907625]]","[[3.7255690679375], [3.766063235875, 3.8065574038125, 4.090016579375, 3.8875457396875], [3.84705157175], [3.928039907625, 4.251993251125, 4.1305107473125, 3.9685340755625]]",192.04006085308058,461.79585630331746,"{'regressor_1': 136.33696057726152, 'regressor_2': 11603.848833333333, 'regressor_3': 7584.434749999999, 'regressor_4': 14746.60748026316}","[5682, 66, 4, 152]"
134,15,3,"[[3.6850648], [3.7255595991875, 3.766054398375, 4.0495179926875], [3.8065491975625, 3.9685283943125, 3.928033595125, 3.84704399675, 3.8875387959375]]","[[3.7255595991875], [3.766054398375, 3.8065491975625, 4.090012791875], [3.84704399675, 4.0090231935, 3.9685283943125, 3.8875387959375, 3.928033595125]]",190.47083800947865,280.4911895734596,"{'regressor_1': 99.7110946350044, 'regressor_2': 12957.206673469387, 'regressor_3': 8238.77724590164}","[5685, 49, 61]"
135,15,3,"[[3.6850648], [3.7255595991875, 3.766054398375, 4.1305075910625], [3.8065491975625, 3.84704399675, 3.8875387959375]]","[[3.7255595991875], [3.766054398375, 3.8065491975625, 4.17100239025], [3.84704399675, 3.8875387959375, 3.928033595125]]",188.16939165876775,13586.779294786731,"{'regressor_1': 98.91679332748025, 'regressor_2': 32188.006870740574, 'regressor_3': 7581.258846153845}","[5695, 4402, 52]"
136,15,3,"[[3.6850648], [3.7255518803750003, 3.76603896075, 3.968474362625, 3.806526041125], [3.92798728225, 4.0089614430000005, 4.130422684125]]","[[3.7255518803750003], [3.76603896075, 3.806526041125, 4.0089614430000005, 3.8470131215], [3.968474362625, 4.049448523375, 4.1709097645]]",199.05318132701424,7810.1474363033185,"{'regressor_1': 160.40927662565903, 'regressor_2': 2590.1694615384613, 'regressor_3': 18231.309394308944}","[5690, 26, 4428]"
