lat,long
50.9589208,3.6735832999999998
50.9589208,3.6835833
50.9589208,3.7035833
50.9589208,3.7235833
50.9689208,3.6635833
50.9689208,3.6935833
50.9689208,3.7135833
50.9689208,3.7335833
50.9689208,3.7435833
50.978920800000004,3.6535832999999998
50.978920800000004,3.6635833
50.978920800000004,3.6835833
50.978920800000004,3.7035833
50.978920800000004,3.7235833
50.978920800000004,3.7435833
50.9889208,3.6735832999999998
50.9889208,3.6935833
50.9889208,3.7135833
50.9889208,3.7335833
50.9889208,3.7535833
50.9889208,3.7635833
50.9989208,3.6535832999999998
50.9989208,3.6635833
50.9989208,3.6835833
50.9989208,3.7035833
50.9989208,3.7235833
50.9989208,3.7435833
51.008920800000006,3.6535832999999998
51.008920800000006,3.6635833
51.008920800000006,3.6835833
51.008920800000006,3.7035833
51.008920800000006,3.7235833
51.008920800000006,3.7435833
51.008920800000006,3.7635833
51.018920800000004,3.6735832999999998
51.018920800000004,3.6935833
51.018920800000004,3.7135833
51.018920800000004,3.7335833
51.018920800000004,3.7535833
51.0289208,3.6535832999999998
51.0289208,3.6635833
51.0289208,3.6835833
51.0289208,3.7035833
51.0289208,3.7235833
51.0289208,3.7435833
51.0289208,3.7635833
51.0389208,3.6735832999999998
51.0389208,3.6935833
51.0389208,3.7135833
51.0389208,3.7335833
51.0389208,3.7535833
51.048920800000005,3.6635833
51.048920800000005,3.6835833
51.048920800000005,3.7035833
51.048920800000005,3.7235833
51.048920800000005,3.7435833
51.0589208,3.6735832999999998
51.0589208,3.6935833
51.0589208,3.7135833
51.0589208,3.7335833
51.0689208,3.6835833
51.0689208,3.7035833
51.0689208,3.7235833
51.0577257,3.7523405000000003
50.968829899999996,3.6818656
50.9888299,3.6518656
50.9888299,3.6618656
50.9988299,3.7618656
51.0188299,3.6518656
51.0188299,3.6618656
51.038829899999996,3.6518656
51.038829899999996,3.6618656
51.0588299,3.6618656
50.955625999999995,3.7399068
50.975626,3.7599068
51.0166743,3.7710726
51.0466743,3.7610726000000003
51.066674299999995,3.7410726000000003
51.0766743,3.6910726
51.0766743,3.7110726
