lat,long
51.0363749,4.1035787
51.0363749,4.1235787
51.0363749,4.1435787
51.0363749,4.1635787
51.0463749,4.0935787
51.0463749,4.1135787
51.0463749,4.1235787
51.0463749,4.1435787
51.0463749,4.1635787
51.0563749,4.0835787
51.0563749,4.1035787
51.0563749,4.1335787
51.0563749,4.1535787
51.0563749,4.1735787
51.0663749,4.0735787
51.0663749,4.0935787
51.0663749,4.1135787
51.0663749,4.1235787
51.0663749,4.1435787
51.0663749,4.1635787
51.0663749,4.1835787
51.0763749,4.0835787
51.0763749,4.1035787
51.0763749,4.1335787
51.0763749,4.1535787
51.0763749,4.1735787
51.0763749,4.1935787
51.0863749,4.0735787
51.0863749,4.0835787
51.0863749,4.1035787
51.0863749,4.1235787
51.0863749,4.1435787
51.0863749,4.1635787
51.0863749,4.1835787
51.0963749,4.0935787
51.0963749,4.1135787
51.0963749,4.1335787
51.0963749,4.1535787
51.0963749,4.1735787
51.0963749,4.1935787
51.1063749,4.0735787
51.1063749,4.0835787
51.1063749,4.1035787
51.1063749,4.1235787
51.1063749,4.1435787
51.1063749,4.1635787
51.1063749,4.1835787
51.1163749,4.0735787
51.1163749,4.0835787
51.1163749,4.1035787
51.1163749,4.1235787
51.1163749,4.1435787
51.1163749,4.1635787
51.1163749,4.1835787
51.1263749,4.0935787
51.1263749,4.1135787
51.1263749,4.1335787
51.1263749,4.1535787
51.1263749,4.1735787
51.1263749,4.1935787
51.1363749,4.0835787
51.1363749,4.1035787
51.1363749,4.1235787
51.1363749,4.1435787
51.1363749,4.1635787
51.1363749,4.1835787
51.1463749,4.0935787
51.1463749,4.1135787
51.1463749,4.1335787
51.1463749,4.1535787
51.1463749,4.1735787
51.1563749,4.1035787
51.1563749,4.1235787
51.1563749,4.1435787
51.1563749,4.1635787
51.0773908,4.114757
51.1073908,4.194757
51.1273908,4.074757
51.2029942,4.1217443
51.2029942,4.1417443
51.2029942,4.1517443
51.2029942,4.1717443
51.2129942,4.1117443
51.2129942,4.1317443
51.2129942,4.1517443
51.2129942,4.1717443
51.2129942,4.1917443
51.2229942,4.1017443
51.2229942,4.1217443
51.2229942,4.1417443
51.2229942,4.1617443
51.2229942,4.1817443
51.2229942,4.2017443
51.2329942,4.0917443
51.2329942,4.1117443
51.2329942,4.1317443
51.2329942,4.1517443
51.2329942,4.1717443
51.2329942,4.1917443
51.2329942,4.2117443
51.2429942,4.1017443
51.2429942,4.1217443
51.2429942,4.1417443
51.2429942,4.1617443
51.2429942,4.1817443
51.2429942,4.2017443
51.2529942,4.0917443
51.2529942,4.1117443
51.2529942,4.1317443
51.2529942,4.1517443
51.2529942,4.1717443
51.2529942,4.1917443
51.2529942,4.2117443
51.2629942,4.1017443
51.2629942,4.1217443
51.2629942,4.1417443
51.2629942,4.1617443
51.2629942,4.1817443
51.2629942,4.2017443
51.2729942,4.0917443
51.2729942,4.1117443
51.2729942,4.1317443
51.2729942,4.1517443
51.2729942,4.1717443
51.2729942,4.1917443
51.2729942,4.2117443
51.2829942,4.0917443
51.2829942,4.1117443
51.2829942,4.1317443
51.2829942,4.1517443
51.2829942,4.1717443
51.2829942,4.1917443
51.2829942,4.2117443
51.2929942,4.1017443
51.2929942,4.1217443
51.2929942,4.1417443
51.2929942,4.1617443
51.2929942,4.1817443
51.2929942,4.2017443
51.3029942,4.1117443
51.3029942,4.1317443
51.3029942,4.1517443
51.3029942,4.1717443
51.3029942,4.1917443
51.3129942,4.1217443
51.3129942,4.1417443
51.3129942,4.1617443
51.3129942,4.1817443
51.3229942,4.1217443
51.3229942,4.1417443
51.3229942,4.1517443
51.3229942,4.1717443
51.0852798,4.2024148
51.1652798,4.1324148
51.0429746,4.1802845
51.0529746,4.1902845
51.0606759,4.1982026
51.3096236,4.0983413
51.1641147,4.1113372
51.1641147,4.1513372
51.0255023,4.1119059
51.0255023,4.1219059
51.0255023,4.1419059
51.0255023,4.1619059
51.0355023,4.0919059
51.0355023,4.1919059
51.0455023,4.0819059
51.0455023,4.2019059
51.0655023,4.2119059
51.0955023,4.2119059
51.1155023,4.2019059
51.1255023,4.2119059
51.1355023,4.2019059
51.1455023,4.1919059
51.1555023,4.1819059
51.1655023,4.1719059
51.0594052,4.2252579
51.0794052,4.2152579
51.0794052,4.2252579
51.0894052,4.2352579
51.0994052,4.2252579
51.0994052,4.2452579
51.1094052,4.2152579
51.1094052,4.2352579
51.1194052,4.2252579
51.1194052,4.2452579
51.1294052,4.2252579
51.1294052,4.2452579
51.1394052,4.2152579
51.1394052,4.2352579
51.1494052,4.2052579
51.1494052,4.2252579
51.1594052,4.1952579
